Parts Number,Production Status,Successor Model,Series,Min. Category Temperature[deg.C],Max. Category Temperature[deg.C],Rated Voltage[Vdc],Capacitance[μF],Capacitance Tolerance Code,Pin Qty,Pin Size,Pin Spacing,Dimensions ⌀D[mm],Package,Polarization,SMD Land Size,Mounting Type,Dimensions L[mm],Dimensions T[mm],Rated Ripple Current1[mArms],Rated Ripple Current1(temp.)[deg.C],Rated Ripple Current1(freq.),Rated Ripple Current2[mArms],Rated Ripple Current2(temp.)[deg.C],Rated Ripple Current2(freq.),ESR1[mOhm],ESR1(temp.)[deg.C],ESR1(freq.),ESR2[mOhm],ESR2(temp.)[deg.C],ESR2(freq.),Impedance1[Ohm],Impedance1(temp.)[deg.C],Impedance1(freq.),Impedance2[Ohm],Impedance2(temp.)[deg.C],Impedance2(freq.),Dissipation Factor,Dissipation Factor(temp.)[deg.C],Dissipation Factor(freq.)[Hz],Leakage Current(1min.)[μA],Leakage Current(2min.)[μA],Leakage Current(3min.)[μA],Leakage Current(5min.)[μA],Leakage Current(temp.)[deg.C],Endurance1(temp.)[deg.C],Endurance1[hrs.],Endurance1(load),Endurance2(temp.)[deg.C],Endurance2[hrs.],Endurance2(load),Reference weight[g],MOQ[pcs],"Temperature Characteristics, Case Code (inch/mm)",RoHS,AEC-Q200,URL(ja),URL(en),URL(zh),Catalog PDF(ja),Catalog PDF(en),Catalog PDF(zh)
EAVH6R3ELL471MJC5S,In Production,,AVH,-40,85,6.3,470,M,2,0.8,5,10,Radial,Polar,,Through Hole,12.5,,,,,,,,,,,,,,,,,,,,0.24,20,120,88.8,29.6,,,20,85,1000,DC,,,,1.8,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH6R3ELL471MJC5S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH6R3ELL471MJC5S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH6R3ELL471MJC5S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH6R3ELL102MJ20S,In Production,,AVH,-40,85,6.3,1000,M,2,0.8,5,10,Radial,Polar,,Through Hole,20,,,,,,,,,,,,,,,,,,,,0.24,20,120,189,63,,,20,85,1000,DC,,,,2.5,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH6R3ELL102MJ20S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH6R3ELL102MJ20S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH6R3ELL102MJ20S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH100ELL331MJC5S,In Production,,AVH,-40,85,10,330,M,2,0.8,5,10,Radial,Polar,,Through Hole,12.5,,,,,,,,,,,,,,,,,,,,0.2,20,120,99,33,,,20,85,1000,DC,,,,1.8,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH100ELL331MJC5S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH100ELL331MJC5S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH100ELL331MJC5S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH100ELL471MJ16S,In Production,,AVH,-40,85,10,470,M,2,0.8,5,10,Radial,Polar,,Through Hole,16,,,,,,,,,,,,,,,,,,,,0.2,20,120,141,47,,,20,85,1000,DC,,,,2.2,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH100ELL471MJ16S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH100ELL471MJ16S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH100ELL471MJ16S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH160ELL221MJC5S,In Production,,AVH,-40,85,16,220,M,2,0.8,5,10,Radial,Polar,,Through Hole,12.5,,,,,,,,,,,,,,,,,,,,0.16,20,120,105,35.2,,,20,85,1000,DC,,,,1.8,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH160ELL221MJC5S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH160ELL221MJC5S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH160ELL221MJC5S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH160ELL331MJ16S,In Production,,AVH,-40,85,16,330,M,2,0.8,5,10,Radial,Polar,,Through Hole,16,,,,,,,,,,,,,,,,,,,,0.16,20,120,158,52.8,,,20,85,1000,DC,,,,2.2,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH160ELL331MJ16S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH160ELL331MJ16S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH160ELL331MJ16S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH160ELL471MJ20S,In Production,,AVH,-40,85,16,470,M,2,0.8,5,10,Radial,Polar,,Through Hole,20,,,,,,,,,,,,,,,,,,,,0.16,20,120,225,75.2,,,20,85,1000,DC,,,,2.5,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH160ELL471MJ20S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH160ELL471MJ20S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH160ELL471MJ20S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH250ELL221MJ16S,In Production,,AVH,-40,85,25,220,M,2,0.8,5,10,Radial,Polar,,Through Hole,16,,,,,,,,,,,,,,,,,,,,0.14,20,120,165,55,,,20,85,1000,DC,,,,2.2,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH250ELL221MJ16S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH250ELL221MJ16S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH250ELL221MJ16S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH250ELL331MJ20S,In Production,,AVH,-40,85,25,330,M,2,0.8,5,10,Radial,Polar,,Through Hole,20,,,,,,,,,,,,,,,,,,,,0.14,20,120,247,82.5,,,20,85,1000,DC,,,,2.5,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH250ELL331MJ20S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH250ELL331MJ20S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH250ELL331MJ20S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH350ELL101MJC5S,In Production,,AVH,-40,85,35,100,M,2,0.8,5,10,Radial,Polar,,Through Hole,12.5,,,,,,,,,,,,,,,,,,,,0.12,20,120,105,35,,,20,85,1000,DC,,,,1.8,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH350ELL101MJC5S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH350ELL101MJC5S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH350ELL101MJC5S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
