Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,Capacitance,Tolerance,Voltage - Rated,ESR (Equivalent Series Resistance),Lifetime @ Temp.,Operating Temperature,Polarization,Ratings,Applications,Ripple Current @ Low Frequency,Ripple Current @ High Frequency,Pin Size,Pin Qty,Lead Spacing,Size / Dimension,Height - Seated (Max),Surface Mount Land Size,Mounting Type,Package / Case
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5052/UCQ1C100MCL1GB.jpg,"493-17801-2-ND,493-17801-1-ND,493-17801-6-ND",UCQ1C100MCL1GB,Nichicon,Nichicon,CAP ALUM 10UF 20% 16V SMD,"11,591",0.5,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,10 µF,±20%,16 V,-,1000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,15 mA @ 120 Hz,22.5 mA @ 10 kHz,0,2,-,"0.157"" Dia (4.00mm)","0.181"" (4.60mm)","0.169"" L x 0.169"" W (4.30mm x 4.30mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4841/UCQ1V4R7MCL1GB.jpg,"493-17818-2-ND,493-17818-1-ND,493-17818-6-ND",UCQ1V4R7MCL1GB,Nichicon,Nichicon,CAP ALUM 4.7UF 20% 35V SMD,"7,750",0.5,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,4.7 µF,±20%,35 V,-,1000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,15 mA @ 120 Hz,22.5 mA @ 10 kHz,0,2,-,"0.157"" Dia (4.00mm)","0.181"" (4.60mm)","0.169"" L x 0.169"" W (4.30mm x 4.30mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4841/UCQ1V100MCL1GB.jpg,"493-17819-2-ND,493-17819-1-ND,493-17819-6-ND",UCQ1V100MCL1GB,Nichicon,Nichicon,CAP ALUM 10UF 20% 35V SMD,"5,515",0.56,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,10 µF,±20%,35 V,-,1000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,30 mA @ 120 Hz,45 mA @ 10 kHz,0,2,-,"0.197"" Dia (5.00mm)","0.181"" (4.60mm)","0.209"" L x 0.209"" W (5.30mm x 5.30mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/561/UUQ1E330MCL1GB.JPG,"493-17796-2-ND,493-17796-1-ND,493-17796-6-ND",UCQ1A101MCL1GS,Nichicon,Nichicon,CAP ALUM 100UF 20% 10V SMD,"5,389",0.78,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,100 µF,±20%,10 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,100 mA @ 120 Hz,150 mA @ 10 kHz,0,2,-,"0.248"" Dia (6.30mm)","0.240"" (6.10mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,-,"493-17805-2-ND,493-17805-1-ND,493-17805-6-ND",UCQ1C101MCL1GS,Nichicon,Nichicon,CAP ALUM 100UF 20% 16V SMD,"4,133",0.89,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,100 µF,±20%,16 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,100 mA @ 120 Hz,150 mA @ 10 kHz,0,2,-,"0.248"" Dia (6.30mm)","0.240"" (6.10mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4844/UCQ1E4R7MCL1GB.jpg,"493-17809-2-ND,493-17809-1-ND,493-17809-6-ND",UCQ1E4R7MCL1GB,Nichicon,Nichicon,CAP ALUM 4.7UF 20% 25V SMD,"5,868",0.5,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,4.7 µF,±20%,25 V,-,1000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,15 mA @ 120 Hz,22.5 mA @ 10 kHz,0,2,-,"0.157"" Dia (4.00mm)","0.181"" (4.60mm)","0.169"" L x 0.169"" W (4.30mm x 4.30mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/UCQ1C220MCL1GB.jpg,"493-17802-2-ND,493-17802-1-ND,493-17802-6-ND",UCQ1C220MCL1GB,Nichicon,Nichicon,CAP ALUM 22UF 20% 16V SMD,"2,737",0.56,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,22 µF,±20%,16 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,30 mA @ 120 Hz,45 mA @ 10 kHz,0,2,-,"0.197"" Dia (5.00mm)","0.181"" (4.60mm)","0.209"" L x 0.209"" W (5.30mm x 5.30mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,-,"493-17797-2-ND,493-17797-1-ND,493-17797-6-ND",UCQ1A221MCL1GS,Nichicon,Nichicon,CAP ALUM 220UF 20% 10V SMD,703,1.07,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,220 µF,±20%,10 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,120 mA @ 120 Hz,180 mA @ 10 kHz,0,2,-,"0.248"" Dia (6.30mm)","0.315"" (8.00mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,-,"493-17814-2-ND,493-17814-1-ND,493-17814-6-ND",UCQ1E101MCL1GS,Nichicon,Nichicon,CAP ALUM 100UF 20% 25V SMD,"2,263",1.17,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,100 µF,±20%,25 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,120 mA @ 120 Hz,180 mA @ 10 kHz,0,2,-,"0.248"" Dia (6.30mm)","0.315"" (8.00mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,-,"493-17815-2-ND,493-17815-1-ND,493-17815-6-ND",UCQ1E221MCL1GS,Nichicon,Nichicon,CAP ALUM 220UF 20% 25V SMD,446,1.4,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,220 µF,±20%,25 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,250 mA @ 120 Hz,375 mA @ 10 kHz,0,2,-,"0.315"" Dia (8.00mm)","0.413"" (10.50mm)","0.327"" L x 0.327"" W (8.30mm x 8.30mm)",Surface Mount,"Radial, Can - SMD"
