Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,Capacitance,Tolerance,Voltage - Rated,ESR (Equivalent Series Resistance),Lifetime @ Temp.,Operating Temperature,Polarization,Ratings,Applications,Pin Qty,Pin Size,Lead Spacing,Size / Dimension,Height - Seated (Max),Surface Mount Land Size,Mounting Type,Package / Case
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ues.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/Muse-ES-SERIES-8mm.jpg,"493-10848-1-ND,493-10848-3-ND",UES1V220MPM1TD,Nichicon,Nichicon,CAP ALUM 22UF 20% 35V RADIAL TH,"5,086",0.5,0,1,"Cut Tape (CT),Tape & Box (TB)",UES,Active,22 µF,±20%,35 V,-,1000 Hrs @ 85°C,-40°C ~ 85°C,Bi-Polar,-,Audio,2,0.6,"0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.512"" (13.00mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ues.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/Muse-ES-SERIES-8mm.jpg,493-16297-ND,UES0J101MPM,Nichicon,Nichicon,CAP ALUM 100UF 20% 6.3V RADIAL,"1,980",0.61,0,1,Bulk,UES,Active,100 µF,±20%,6.3 V,-,1000 Hrs @ 85°C,-40°C ~ 85°C,Bi-Polar,-,Audio,2,0.6,"0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.512"" (13.00mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ues.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/Muse-ES-SERIES-8mm.jpg,493-15044-ND,UES1V220MPM,Nichicon,Nichicon,CAP ALUM 22UF 20% 35V RADIAL TH,"1,001",0.71,0,1,Bulk,UES,Active,22 µF,±20%,35 V,-,1000 Hrs @ 85°C,-40°C ~ 85°C,Bi-Polar,-,Audio,2,0.6,"0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.512"" (13.00mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ues.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/Muse-ES-SERIES-8mm.jpg,493-15027-ND,UES1E330MPM,Nichicon,Nichicon,CAP ALUM 33UF 20% 25V RADIAL TH,"1,782",0.73,0,1,Bulk,UES,Active,33 µF,±20%,25 V,-,1000 Hrs @ 85°C,-40°C ~ 85°C,Bi-Polar,-,Audio,2,0.6,"0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.512"" (13.00mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ues.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/Muse-ES-SERIES-8mm.jpg,"UES1C470MPM1TA-ND,493-UES1C470MPM1TACT-ND",UES1C470MPM1TA,Nichicon,Nichicon,CAP ALUM 47UF 20% 16V RADIAL TH,252,0.61,0,1,"Tape & Reel (TR),Cut Tape (CT)",UES,Active,47 µF,±20%,16 V,-,1000 Hrs @ 85°C,-40°C ~ 85°C,Bi-Polar,-,Audio,2,0.6,"0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.492"" (12.50mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ues.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/Muse-ES-SERIES-8mm.jpg,"UES1H100MPM1TA-ND,493-UES1H100MPM1TACT-ND",UES1H100MPM1TA,Nichicon,Nichicon,CAP ALUM 10UF 20% 50V RADIAL TH,691,0.62,0,1,"Tape & Reel (TR),Cut Tape (CT)",UES,Active,10 µF,±20%,50 V,-,1000 Hrs @ 85°C,-40°C ~ 85°C,Bi-Polar,-,Audio,2,0.6,"0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.492"" (12.50mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ues.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/Muse-ES-SERIES-8mm.jpg,"493-10835-1-ND,493-10835-3-ND",UES1H100MPM1TD,Nichicon,Nichicon,CAP ALUM 10UF 20% 50V RADIAL TH,887,0.64,0,1,"Cut Tape (CT),Tape & Box (TB)",UES,Active,10 µF,±20%,50 V,-,1000 Hrs @ 85°C,-40°C ~ 85°C,Bi-Polar,-,Audio,2,0.6,"0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.512"" (13.00mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ues.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/Muse-ES-SERIES-8mm.jpg,493-15022-ND,UES1C470MPM,Nichicon,Nichicon,CAP ALUM 47UF 20% 16V RADIAL TH,119,0.64,0,1,Bulk,UES,Active,47 µF,±20%,16 V,-,1000 Hrs @ 85°C,-40°C ~ 85°C,Bi-Polar,-,Audio,2,0.6,"0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.512"" (13.00mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ues.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/Muse-ES-SERIES-8mm.jpg,"493-10800-1-ND,493-10800-3-ND",UES0J101MPM1TD,Nichicon,Nichicon,CAP ALUM 100UF 20% 6.3V RADIAL,"1,843",0.66,0,1,"Cut Tape (CT),Tape & Box (TB)",UES,Active,100 µF,±20%,6.3 V,-,1000 Hrs @ 85°C,-40°C ~ 85°C,Bi-Polar,-,Audio,2,0.6,"0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.492"" (12.50mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ues.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/Muse-ES-SERIES-8mm.jpg,"493-10822-1-ND,493-10822-3-ND",UES1C470MPM1TD,Nichicon,Nichicon,CAP ALUM 47UF 20% 16V RADIAL TH,"1,856",0.69,0,1,"Cut Tape (CT),Tape & Box (TB)",UES,Active,47 µF,±20%,16 V,-,1000 Hrs @ 85°C,-40°C ~ 85°C,Bi-Polar,-,Audio,2,0.6,"0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.512"" (13.00mm)",-,Through Hole,"Radial, Can"
