Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,Capacitance,Tolerance,Voltage - Rated,ESR (Equivalent Series Resistance),Lifetime @ Temp.,Operating Temperature,Polarization,Ratings,Applications,Ripple Current @ Low Frequency,Ripple Current @ High Frequency,Pin Size,Pin Qty,Lead Spacing,Size / Dimension,Height - Seated (Max),Surface Mount Land Size,Mounting Type,Package / Case
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3007/KA%20SERIES%205mm.jpg,"493-4664-1-ND,2266-UKA1V220MDD1TDTB-ND,493-4664-3-ND",UKA1V220MDD1TD,Nichicon,"Nichicon,WEC",CAP ALUM 22UF 20% 35V RADIAL TH,0,0.155,0,500,"Cut Tape (CT),Tape & Box (TB),Tape & Box (TB)",UKA,Obsolete,22 µF,±20%,35 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,-,Audio,61 mA @ 120 Hz,122 mA @ 10 kHz,0.6,2,"0.098"" (2.50mm)","0.197"" Dia (5.00mm)","0.492"" (12.50mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3007/KA%20SERIES%205mm.jpg,493-15316-ND,UKA0J101MDD,Nichicon,Nichicon,CAP ALUM 100UF 20% 6.3V RADIAL,"1,890",0.44,0,1,Bulk,UKA,Obsolete,100 µF,±20%,6.3 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,-,Audio,95 mA @ 120 Hz,142.5 mA @ 10 kHz,0.6,2,"0.079"" (2.00mm)","0.197"" Dia (5.00mm)","0.492"" (12.50mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3007/KA%20SERIES%205mm.jpg,493-16806-ND,UKA0J220MDD,Nichicon,Nichicon,CAP ALUM 22UF 20% 6.3V RADIAL TH,"1,608",0.44,0,1,Bulk,UKA,Obsolete,22 µF,±20%,6.3 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,-,Audio,45 mA @ 120 Hz,-,0.6,2,"0.079"" (2.00mm)","0.197"" Dia (5.00mm)","0.492"" (12.50mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3007/KA%20SERIES%205mm.jpg,493-15320-ND,UKA1A470MDD,Nichicon,Nichicon,CAP ALUM 47UF 20% 10V RADIAL TH,"9,651",0.45,0,1,Bulk,UKA,Obsolete,47 µF,±20%,10 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,-,Audio,68 mA @ 120 Hz,136 mA @ 10 kHz,0.6,2,"0.079"" (2.00mm)","0.197"" Dia (5.00mm)","0.492"" (12.50mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3007/KA%20SERIES%205mm.jpg,"493-4629-1-ND,493-4629-3-ND",UKA1A101MDD1TD,Nichicon,Nichicon,CAP ALUM 100UF 20% 10V RADIAL TH,"8,606",0.45,0,1,"Cut Tape (CT),Tape & Box (TB)",UKA,Obsolete,100 µF,±20%,10 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,-,Audio,105 mA @ 120 Hz,157.5 mA @ 10 kHz,0.6,2,"0.098"" (2.50mm)","0.197"" Dia (5.00mm)","0.492"" (12.50mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3007/KA%20SERIES%205mm.jpg,493-16808-ND,UKA0J330MDD,Nichicon,Nichicon,CAP ALUM 33UF 20% 6.3V RADIAL TH,"2,012",0.45,0,1,Bulk,UKA,Obsolete,33 µF,±20%,6.3 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,-,Audio,55 mA @ 120 Hz,110 mA @ 10 kHz,0.6,2,"0.079"" (2.00mm)","0.197"" Dia (5.00mm)","0.492"" (12.50mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3007/KA%20SERIES%205mm.jpg,"493-4623-1-ND,493-4623-3-ND",UKA0J330MDD1TD,Nichicon,Nichicon,CAP ALUM 33UF 20% 6.3V RADIAL TH,"1,913",0.45,0,1,"Cut Tape (CT),Tape & Box (TB)",UKA,Obsolete,33 µF,±20%,6.3 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,-,Audio,55 mA @ 120 Hz,110 mA @ 10 kHz,0.6,2,"0.098"" (2.50mm)","0.197"" Dia (5.00mm)","0.492"" (12.50mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3007/KA%20SERIES%205mm.jpg,"493-4649-1-ND,493-4649-3-ND",UKA1E220MDD1TD,Nichicon,Nichicon,CAP ALUM 22UF 20% 25V RADIAL TH,"1,908",0.45,0,1,"Cut Tape (CT),Tape & Box (TB)",UKA,Obsolete,22 µF,±20%,25 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,-,Audio,58 mA @ 120 Hz,116 mA @ 10 kHz,0.6,2,"0.098"" (2.50mm)","0.197"" Dia (5.00mm)","0.492"" (12.50mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3007/KA%20SERIES%205mm.jpg,"493-4636-1-ND,493-4636-3-ND",UKA1A470MDD1TD,Nichicon,Nichicon,CAP ALUM 47UF 20% 10V RADIAL TH,"1,653",0.45,0,1,"Cut Tape (CT),Tape & Box (TB)",UKA,Obsolete,47 µF,±20%,10 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,-,Audio,68 mA @ 120 Hz,136 mA @ 10 kHz,0.6,2,"0.098"" (2.50mm)","0.197"" Dia (5.00mm)","0.492"" (12.50mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3007/KA%20SERIES%205mm.jpg,"493-4618-1-ND,493-4618-3-ND",UKA0J101MDD1TD,Nichicon,Nichicon,CAP ALUM 100UF 20% 6.3V RADIAL,"1,644",0.45,0,1,"Cut Tape (CT),Tape & Box (TB)",UKA,Obsolete,100 µF,±20%,6.3 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,-,Audio,95 mA @ 120 Hz,142.5 mA @ 10 kHz,0.6,2,"0.098"" (2.50mm)","0.197"" Dia (5.00mm)","0.492"" (12.50mm)",-,Through Hole,"Radial, Can"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3007/KA%20SERIES%205mm.jpg,493-15319-ND,UKA1A101MDD,Nichicon,Nichicon,CAP ALUM 100UF 20% 10V RADIAL TH,"1,383",0.45,0,1,Bulk,UKA,Obsolete,100 µF,±20%,10 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,-,Audio,105 mA @ 120 Hz,157.5 mA @ 10 kHz,0.6,2,"0.079"" (2.00mm)","0.197"" Dia (5.00mm)","0.492"" (12.50mm)",-,Through Hole,"Radial, Can"
