Part Number,Part Name,Part Label,Part ID,Symbol,Footprint,Manufacturer Part Description,Manufacturer Name,Manufacturer Part Number,Manufacturer Link,Series,Supplier Name,Supplier Part Number,Supplier Category,Supplier Sub-Category,Supplier Link,Datasheet Link,Photo Link,Value,Resistance,Capacitance,Inductance,Tolerance,Rated Voltage,Rated Current,Rated Power,Package,Status,Component Type
"CAPAETR2_0250P_0500X1250_PD060","","","","cap","CAPAETR2_0250P_0500X1250_PD060","CAP ALUM 22UF 35V 20.0% 55C105 RADIAL TH","Nichicon","UKA1V220MDD1TD",,"UKA",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3007/KA%20SERIES%205mm.jpg",0.000022,,,,0.2,35,,,"RADIAL TH","Obsolete","Capacitor"
"CAPAETR2_0200P_0500X1250_PD060","","","","cap","CAPAETR2_0200P_0500X1250_PD060","CAP ALUM 100UF 6V 20.0% 55C105 RADIAL TH","Nichicon","UKA0J101MDD",,"UKA",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3007/KA%20SERIES%205mm.jpg",0.0001,,,,0.2,6,,,"RADIAL TH","Obsolete","Capacitor"
"CAPAETR2_0250P_0630X1250_PD060","","","","cap","CAPAETR2_0250P_0630X1250_PD060","CAP ALUM 100UF 35V 20.0% 55C105 RADIAL TH","Nichicon","UKA1V101MED1TD",,"UKA",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/401/UKA1A221MED1TD.JPG",0.0001,,,,0.2,35,,,"RADIAL TH","Obsolete","Capacitor"
"CAPAETR2_0350P_0800X1300_PD060","","","","cap","CAPAETR2_0350P_0800X1300_PD060","CAP ALUM 330UF 16V 20.0% 55C105 RADIAL TH","Nichicon","UKA1C331MPD",,"UKA",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2596/KA%20SERIES%208mm.jpg",0.00033,,,,0.2,16,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0500P_1000X1400_PD060","","","","cap","CAPAETR2_0500P_1000X1400_PD060","CAP ALUM 330UF 35V 20.0% 55C105 RADIAL TH","Nichicon","UKA1V331MPD",,"UKA",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2573/KA%20SERIES%2014mm.jpg",0.00033,,,,0.2,35,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0500P_1000X1750_PD060","","","","cap","CAPAETR2_0500P_1000X1750_PD060","CAP ALUM 470UF 35V 20.0% 55C105 RADIAL TH","Nichicon","UKA1V471MPD1TD",,"UKA",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2573/KA%20SERIES%2017.50mm.jpg",0.00047,,,,0.2,35,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0500P_1000X2150_PD060","","","","cap","CAPAETR2_0500P_1000X2150_PD060","CAP ALUM 1MF 25V 20.0% 55C105 RADIAL TH","Nichicon","UKA1E102MPD1TD",,"UKA",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2585/KA%20SERIES%2021.50mm.jpg",0.001,,,,0.2,25,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0500P_1000X2200_PD060","","","","cap","CAPAETR2_0500P_1000X2200_PD060","CAP ALUM 2.2MF 6V 20.0% 55C105 RADIAL TH","Nichicon","UKA0J222MPD",,"UKA",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2585/KA%20SERIES%2021.50mm.jpg",0.0022,,,,0.2,6,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0500P_1250X2150_PD060","","","","cap","CAPAETR2_0500P_1250X2150_PD060","CAP ALUM 2.2MF 16V 20.0% 55C105 RADIAL TH","Nichicon","UKA1C222MHD",,"UKA",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/530/UKA1A222MHD.JPG",0.0022,,,,0.2,16,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0500P_1250X2650_PD060","","","","cap","CAPAETR2_0500P_1250X2650_PD060","CAP ALUM 1MF 35V 20.0% 55C105 RADIAL TH","Nichicon","UKA1V102MHD1TO",,"UKA",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uka.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2588/KA%20SERIES%2012.50mm.jpg",0.001,,,,0.2,35,,,"RADIAL TH","Not For New Designs","Capacitor"
