Part Number,Part Name,Part Label,Part ID,Symbol,Footprint,Manufacturer Part Description,Manufacturer Name,Manufacturer Part Number,Manufacturer Link,Series,Supplier Name,Supplier Part Number,Supplier Category,Supplier Sub-Category,Supplier Link,Datasheet Link,Photo Link,Value,Resistance,Capacitance,Inductance,Tolerance,Rated Voltage,Rated Current,Rated Power,Package,Status,Component Type
"CAPAETR2_0250P_0500X1250_PD060","","","","cap","CAPAETR2_0250P_0500X1250_PD060","CAP ALUM 2.2UF 50V 20.0% 40C85 RADIAL TH","Nichicon","UKW1H2R2MDD1TD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2588/KW%20SERIES%205mm.JPG",0.0000022,,,,0.2,50,,,"RADIAL TH","Obsolete","Capacitor"
"CAPAETR2_0200P_0500X1100_PD060","","","","cap","CAPAETR2_0200P_0500X1100_PD060","CAP ALUM 2.2UF 100V 20.0% 40C85 RADIAL TH","Nichicon","UKW2A2R2MDD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2588/KW%20SERIES%205mm.JPG",0.0000022,,,,0.2,100,,,"RADIAL TH","Obsolete","Capacitor"
"CAPAETR2_0500P_0500X1250_PD060","","","","cap","CAPAETR2_0500P_0500X1250_PD060","CAP ALUM 1UF 50V 20.0% 40C85 RADIAL TH","Nichicon","UKW1H010MDD1TA",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2588/KW%20SERIES%205mm.JPG",0.000001,,,,0.2,50,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0250P_0630X1250_PD060","","","","cap","CAPAETR2_0250P_0630X1250_PD060","CAP ALUM 33UF 63V 20.0% 40C85 RADIAL TH","Nichicon","UKW1J330MED1TD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-6.3mm.jpg",0.000033,,,,0.2,63,,,"RADIAL TH","Obsolete","Capacitor"
"CAPAETR2_0250P_0630X1100_PD060","","","","cap","CAPAETR2_0250P_0630X1100_PD060","CAP ALUM 330UF 10V 20.0% 40C85 RADIAL TH","Nichicon","UKW1A331MED",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-6.3mm.jpg",0.00033,,,,0.2,10,,,"RADIAL TH","Obsolete","Capacitor"
"CAPAETR2_0350P_0800X1150_PD060","","","","cap","CAPAETR2_0350P_0800X1150_PD060","CAP ALUM 470UF 16V 20.0% 40C85 RADIAL TH","Nichicon","UKW1C471MPD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-8mm.jpg",0.00047,,,,0.2,16,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0350P_0800X1250_PD060","","","","cap","CAPAETR2_0350P_0800X1250_PD060","CAP ALUM 470UF 16V 20.0% 40C85 RADIAL TH","Nichicon","UKW1C471MPD1TD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-8mm.jpg",0.00047,,,,0.2,16,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0350P_0800X1300_PD060","","","","cap","CAPAETR2_0350P_0800X1300_PD060","CAP ALUM 330UF 16V 20.0% 40C85 RADIAL TH","Nichicon","UKW1C331MPD1TA",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-8mm.jpg",0.00033,,,,0.2,16,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0500P_1000X1250_PD060","","","","cap","CAPAETR2_0500P_1000X1250_PD060","CAP ALUM 220UF 35V 20.0% 40C85 RADIAL TH","Nichicon","UKW1V221MPD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-14mm.jpg",0.00022,,,,0.2,35,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0500P_1000X2000_PD060","","","","cap","CAPAETR2_0500P_1000X2000_PD060","CAP ALUM 100UF 100V 20.0% 40C85 RADIAL TH","Nichicon","UKW2A101MPD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-22mm.jpg",0.0001,,,,0.2,100,,,"RADIAL TH","Not For New Designs","Capacitor"
