Part Number,Description,Symbol,Footprint,Manufacturer Part Description,Manufacturer Name,Manufacturer Part Number,Value,Tolerance,Component Type,Rated Voltage,Series
CAPT2_WIMA_0500P_1D,CAP FILM 390pF 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D003901D00HSSD,3.9E-10,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 120pF 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D001201D00HSSD,1.2E-10,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 5n6 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C015601D00HSSD,5.6E-09,0.025,Capacitor,63,FKP2
CAPT2_WIMA_1000P_3C,CAP FILM 47nF 5.0% 400VDC RAD,cap,CAPT2_WIMA_1000P_3C,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4G024703C00JSSD,0.000000047,0.05,Capacitor,400,MKP4
CAPT2_WIMA_0500P_1D,CAP FILM 5n1 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C015101D00HSSD,5.1E-09,0.025,Capacitor,63,FKP2
CAPT2_WIMA_0500P_1A,CAP FILM 47pF 5.0% 400VDC RAD,cap,CAPT2_WIMA_0500P_1A,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2G000471A00JSSD,4.7E-11,0.05,Capacitor,400,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 620pF 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D006201D00HSP4,6.2E-10,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 3n6 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C013601D00HSSD,3.6E-09,0.025,Capacitor,63,FKP2
CAPT2_WIMA_0500P_1A,CAP FILM 120pF 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1A,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C001201A00HSSD,1.2E-10,0.025,Capacitor,63,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 2n4 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D012401D00HSSD,2.4E-09,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0250P_0B,CAP FILM 1n5 5.0% 100VDC RAD,cap,CAPT2_WIMA_0250P_0B,FKP02 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP0D011500B00JSSD,1.5E-09,0.05,Capacitor,100,FKP0
CAPT2_WIMA_0500P_1D,CAP FILM 1n8 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D011801D00HSSD,1.8E-09,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1G,CAP FILM 7n5 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1G,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C017501G00HSSD,7.5E-09,0.025,Capacitor,63,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 1n2 2.5% 630VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2J011201D00HSSD,1.2E-09,0.025,Capacitor,630,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 470pF 5.0% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D004701D00JSSD,4.7E-10,0.05,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 39pF 2.5% 630VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2J000391D00HSSD,3.9E-11,0.025,Capacitor,630,FKP2
